1546.93536	2.98e-22
1546.59523	4.9e-22
1546.40236	2.92e-22
1545.65344	2.271e-22
1545.64336	2.271e-22
1544.56161	2.392e-22
1543.82653	2.851e-22
1543.82195	3.36e-22
1543.7546	3.226e-22
1543.70751	3.42e-22
1542.56728	5.969e-22
1541.78629	2.46e-22
1541.34388	4.315e-22
1541.29584	4.2e-22
1541.25975	3.95e-22
1541.19935	2.428e-22
1540.95649	3.408e-22
1540.88459	3.65e-22
1540.7872	3.981e-22
1540.49706	2.815e-22
1540.48728	2.343e-22
1540.44079	3.408e-22
1540.08514	3.17e-22
1539.10394	5.283e-22
1539.06864	7.542e-22
1538.65342	2.779e-22
1538.62743	2.021e-22
1538.57942	2.751e-22
1537.78534	2.246e-22
1537.59216	2.351e-22
1537.57873	7.461e-22
1537.51691	3.15e-22
1537.34951	2.053e-22
1537.21585	3.307e-22
1536.81688	4.799e-22
1536.76963	2.093e-22
1536.71748	2.65e-22
1536.71559	2.65e-22
1536.49931	4.43e-22
1536.41558	7.461e-22
1536.33013	3.751e-22
1536.0968	2.22e-22
1536.09243	3.505e-22
1536.0758	7.3e-22
1536.04532	6.09e-22
1535.86413	7.3e-22
1535.2362	3.198e-22
1535.20867	3.339e-22
1535.13785	3.517e-22
1535.09687	3.368e-22
1534.71492	2.835e-22
1534.56455	3.283e-22
1534.45536	2.37e-22
1534.45362	3.15e-22
1534.27594	4.477e-22
1533.2788	4.396e-22
1533.21706	3.803e-22
1532.98797	6.13e-22
1532.96419	4.114e-22
1532.81404	6.17e-22
1532.79698	2.63e-22
1532.57755	7.42e-22
1532.53832	7.421e-22
1532.47947	3.45e-22
1532.47714	3.84e-22
1531.68243	1.174e-21
1531.68133	1.174e-21
1531.65163	1.35e-21
1531.58353	1.23e-21
1530.59988	4.396e-22
1530.58222	4.436e-22
1530.32672	4.436e-22
1529.84896	8.469e-22
1529.59446	4.154e-22
1528.81673	2.291e-22
1528.80322	2.755e-22
1528.72771	6.37e-22
1528.72369	6.37e-22
1528.48537	9.65e-22
1528.43881	1.008e-21
1528.15442	2.2e-22
1528.04229	8.711e-22
1527.72497	2.279e-22
1527.19626	2.952e-22
1527.04138	1.879e-21
1526.99771	1.847e-21
1526.96824	3.561e-22
1526.37635	2.178e-22
1526.37635	2.178e-22
1526.31724	3.275e-22
1526.15991	2.392e-22
1526.10784	2.73e-22
1526.05024	2.359e-22
1526.02891	2.88e-22
1526.01163	2.565e-22
1525.98641	4.96e-22
1525.98243	4.96e-22
1525.39361	1.254e-21
1525.32115	1.125e-21
1525.19367	2.121e-22
1524.95941	4.275e-22
1524.78085	4.678e-22
1524.44727	2.771e-22
1524.23464	2.319e-22
1524.17159	8.59e-22
1524.15978	8.832e-22
1523.97183	2.061e-22
1523.9418	2.206e-22
1523.92229	2.1e-22
1523.6551	5.001e-22
1523.58024	4.799e-22
1523.26127	6.695e-22
1522.46233	2.56e-21
1522.43878	2.52e-21
